Starttime,Endtime,Q,Audiofilename
10.4003125,10.496875,UNK,Spiders_007.wav
10.562,10.66575,UNK,Spiders_007.wav
10.6995625,10.815375,UNK,Spiders_007.wav
10.8805,11.0059375,UNK,Spiders_007.wav
11.049375,11.174875,UNK,Spiders_007.wav
300.738125,300.834625,UNK,Spiders_007.wav
350.60275,350.6993125,UNK,Spiders_007.wav
12.8028125,12.9138125,POS,Spiders_007.wav
12.9934375,13.12375,POS,Spiders_007.wav
13.196125,13.3385,POS,Spiders_007.wav
13.3915625,13.5194375,POS,Spiders_007.wav
13.577375,13.70525,POS,Spiders_007.wav
13.755875,13.8838125,POS,Spiders_007.wav
13.951375,14.055125,POS,Spiders_007.wav
14.1081875,14.233625,POS,Spiders_007.wav
14.4049375,14.525625,POS,Spiders_007.wav
14.6069375,14.742,POS,Spiders_007.wav
14.8481875,14.98575,POS,Spiders_007.wav
15.0219375,15.154625,POS,Spiders_007.wav
15.1908125,15.313875,POS,Spiders_007.wav
15.369375,15.49725,POS,Spiders_007.wav
15.5816875,15.7095625,POS,Spiders_007.wav
15.782,15.91225,POS,Spiders_007.wav
15.9895,16.1318125,POS,Spiders_007.wav
16.172875,16.317625,POS,Spiders_007.wav
16.387625,16.517875,POS,Spiders_007.wav
16.5685625,16.7254375,POS,Spiders_007.wav
16.78575,16.9280625,POS,Spiders_007.wav
16.969125,17.128375,POS,Spiders_007.wav
17.2435625,17.4100625,POS,Spiders_007.wav
17.5306875,17.692375,POS,Spiders_007.wav
17.72375,17.8685,POS,Spiders_007.wav
17.933625,18.0615,POS,Spiders_007.wav
18.1098125,18.2545625,POS,Spiders_007.wav
18.3285,18.495,POS,Spiders_007.wav
18.5721875,18.7169375,POS,Spiders_007.wav
18.823125,18.9461875,POS,Spiders_007.wav
19.023375,19.1536875,POS,Spiders_007.wav
26.7028125,26.8403125,POS,Spiders_007.wav
27.108125,27.248125,POS,Spiders_007.wav
27.306,27.4290625,POS,Spiders_007.wav
27.5255625,27.6438125,POS,Spiders_007.wav
27.6824375,27.807875,POS,Spiders_007.wav
27.8875,28.008125,POS,Spiders_007.wav
28.078125,28.1915,POS,Spiders_007.wav
28.2735625,28.382125,POS,Spiders_007.wav
28.4424375,28.5751875,POS,Spiders_007.wav
28.6620625,28.7995625,POS,Spiders_007.wav
28.826125,28.9660625,POS,Spiders_007.wav
29.0456875,29.176,POS,Spiders_007.wav
29.25075,29.3714375,POS,Spiders_007.wav
29.476375,29.6090625,POS,Spiders_007.wav
29.6645625,29.7683125,POS,Spiders_007.wav
34.244875,34.421,POS,Spiders_007.wav
34.5103125,34.70575,POS,Spiders_007.wav
34.7901875,34.944625,POS,Spiders_007.wav
35.0194375,35.1786875,POS,Spiders_007.wav
35.222125,35.352375,POS,Spiders_007.wav
35.4465,35.615375,POS,Spiders_007.wav
35.7360625,35.8904375,POS,Spiders_007.wav
36.0086875,36.1824375,POS,Spiders_007.wav
36.22825,36.402,POS,Spiders_007.wav
36.433375,36.585375,POS,Spiders_007.wav
36.7108125,36.848375,POS,Spiders_007.wav
36.96175,37.0945,POS,Spiders_007.wav
37.2658125,37.39125,POS,Spiders_007.wav
37.5070625,37.644625,POS,Spiders_007.wav
37.68325,37.82075,POS,Spiders_007.wav
37.852125,37.98725,POS,Spiders_007.wav
38.02225,38.17425,POS,Spiders_007.wav
38.253625,38.3790625,POS,Spiders_007.wav
38.4659375,38.6083125,POS,Spiders_007.wav
38.69275,38.84475,POS,Spiders_007.wav
38.9846875,39.1270625,POS,Spiders_007.wav
39.2863125,39.3925,POS,Spiders_007.wav
39.4105625,39.524,POS,Spiders_007.wav
39.6216875,39.761625,POS,Spiders_007.wav
39.8075,39.945,POS,Spiders_007.wav
40.04875,40.191125,POS,Spiders_007.wav
48.3670625,48.4780625,POS,Spiders_007.wav
48.5408125,48.6735,POS,Spiders_007.wav
48.719375,48.830375,POS,Spiders_007.wav
48.9293125,49.05475,POS,Spiders_007.wav
49.12475,49.2405625,POS,Spiders_007.wav
49.325,49.4263125,POS,Spiders_007.wav
49.515625,49.6241875,POS,Spiders_007.wav
49.7448125,49.8485625,POS,Spiders_007.wav
49.9668125,50.089875,POS,Spiders_007.wav
50.186375,50.297375,POS,Spiders_007.wav
50.3553125,50.471125,POS,Spiders_007.wav
50.60625,50.7220625,POS,Spiders_007.wav
50.830625,50.9536875,POS,Spiders_007.wav
51.1225625,51.2576875,POS,Spiders_007.wav
51.318,51.4338125,POS,Spiders_007.wav
51.5496875,51.6799375,POS,Spiders_007.wav
51.7258125,51.8585,POS,Spiders_007.wav
51.9188125,52.0395,POS,Spiders_007.wav
52.0925625,52.2276875,POS,Spiders_007.wav
52.3000625,52.4134375,POS,Spiders_007.wav
52.4593125,52.592,POS,Spiders_007.wav
52.7368125,52.838125,POS,Spiders_007.wav
52.893625,52.997375,POS,Spiders_007.wav
53.115625,53.2169375,POS,Spiders_007.wav
53.3110625,53.412375,POS,Spiders_007.wav
53.5766875,53.68525,POS,Spiders_007.wav
53.805875,53.938625,POS,Spiders_007.wav
54.068875,54.1919375,POS,Spiders_007.wav
54.3174375,54.467,POS,Spiders_007.wav
54.527375,54.650375,POS,Spiders_007.wav
54.7010625,54.865125,POS,Spiders_007.wav
54.9061875,55.0340625,POS,Spiders_007.wav
55.0991875,55.2511875,POS,Spiders_007.wav
55.367,55.5045625,POS,Spiders_007.wav
55.5600625,55.690375,POS,Spiders_007.wav
55.72175,55.8640625,POS,Spiders_007.wav
55.9099375,56.035375,POS,Spiders_007.wav
56.4275,56.565,POS,Spiders_007.wav
56.726625,56.8545625,POS,Spiders_007.wav
56.98725,57.156125,POS,Spiders_007.wav
57.2719375,57.433625,POS,Spiders_007.wav
57.51325,57.655625,POS,Spiders_007.wav
57.759375,57.8945,POS,Spiders_007.wav
58.015125,58.1526875,POS,Spiders_007.wav
60.80025,60.8895625,POS,Spiders_007.wav
61.018625,61.1030625,POS,Spiders_007.wav
61.1971875,61.303375,POS,Spiders_007.wav
61.3805625,61.51325,POS,Spiders_007.wav
61.5543125,61.6749375,POS,Spiders_007.wav
61.732875,61.84625,POS,Spiders_007.wav
61.9283125,62.070625,POS,Spiders_007.wav
62.119625,62.2354375,POS,Spiders_007.wav
62.2885,62.423625,POS,Spiders_007.wav
62.5105,62.6263125,POS,Spiders_007.wav
62.7228125,62.8483125,POS,Spiders_007.wav
62.93275,63.082375,POS,Spiders_007.wav
63.1764375,63.3115625,POS,Spiders_007.wav
63.37675,63.507,POS,Spiders_007.wav
63.5721875,63.7096875,POS,Spiders_007.wav
63.77,63.9003125,POS,Spiders_007.wav
63.9655,64.1005625,POS,Spiders_007.wav
64.175375,64.3129375,POS,Spiders_007.wav
64.363625,64.4986875,POS,Spiders_007.wav
64.792125,64.89825,POS,Spiders_007.wav
64.9561875,65.0526875,POS,Spiders_007.wav
65.192625,65.303625,POS,Spiders_007.wav
65.376125,65.501625,POS,Spiders_007.wav
65.5715625,65.694625,POS,Spiders_007.wav
65.757375,65.8925,POS,Spiders_007.wav
66.0228125,66.1434375,POS,Spiders_007.wav
66.2544375,66.3823125,POS,Spiders_007.wav
66.4160625,66.539125,POS,Spiders_007.wav
66.6115,66.7249375,POS,Spiders_007.wav
66.7985,66.9119375,POS,Spiders_007.wav
66.959,67.04825,POS,Spiders_007.wav
67.10375,67.22925,POS,Spiders_007.wav
78.0551875,78.171,POS,Spiders_007.wav
78.2771875,78.431625,POS,Spiders_007.wav
78.5956875,78.7163125,POS,Spiders_007.wav
78.750125,78.88525,POS,Spiders_007.wav
78.943125,79.0830625,POS,Spiders_007.wav
79.198875,79.3146875,POS,Spiders_007.wav
79.3678125,79.5270625,POS,Spiders_007.wav
80.1640625,80.3185,POS,Spiders_007.wav
80.424625,80.5694375,POS,Spiders_007.wav
80.6128125,80.76725,POS,Spiders_007.wav
80.8106875,80.9458125,POS,Spiders_007.wav
80.98925,81.1291875,POS,Spiders_007.wav
81.21125,81.3705,POS,Spiders_007.wav
81.442875,81.578,POS,Spiders_007.wav
81.9845625,82.151,POS,Spiders_007.wav
82.25475,82.370625,POS,Spiders_007.wav
82.525,82.64325,POS,Spiders_007.wav
82.7518125,82.8869375,POS,Spiders_007.wav
83.0220625,83.1571875,POS,Spiders_007.wav
83.3164375,83.4829375,POS,Spiders_007.wav
83.5698125,83.685625,POS,Spiders_007.wav
86.408,86.502125,POS,Spiders_007.wav
86.7626875,86.8640625,POS,Spiders_007.wav
86.9750625,87.0884375,POS,Spiders_007.wav
87.1511875,87.2453125,POS,Spiders_007.wav
87.37075,87.4383125,POS,Spiders_007.wav
87.5420625,87.6699375,POS,Spiders_007.wav
87.7471875,87.863,POS,Spiders_007.wav
87.93775,88.0584375,POS,Spiders_007.wav
88.1404375,88.246625,POS,Spiders_007.wav
88.319,88.4420625,POS,Spiders_007.wav
88.47825,88.620625,POS,Spiders_007.wav
88.6736875,88.79675,POS,Spiders_007.wav
88.835375,88.94875,POS,Spiders_007.wav
88.987375,89.1031875,POS,Spiders_007.wav
89.1828125,89.3251875,POS,Spiders_007.wav
89.37825,89.5109375,POS,Spiders_007.wav
89.5326875,89.6750625,POS,Spiders_007.wav
89.728125,89.8511875,POS,Spiders_007.wav
89.8994375,90.02975,POS,Spiders_007.wav
90.0828125,90.205875,POS,Spiders_007.wav
90.275875,90.4109375,POS,Spiders_007.wav
90.4375,90.604,POS,Spiders_007.wav
90.6788125,90.81875,POS,Spiders_007.wav
90.8578125,90.99775,POS,Spiders_007.wav
91.0821875,91.188375,POS,Spiders_007.wav
91.243875,91.37175,POS,Spiders_007.wav
91.4634375,91.569625,POS,Spiders_007.wav
91.7095625,91.8301875,POS,Spiders_007.wav
91.8760625,91.9966875,POS,Spiders_007.wav
92.047375,92.1873125,POS,Spiders_007.wav
92.2355625,92.3730625,POS,Spiders_007.wav
92.3971875,92.4913125,POS,Spiders_007.wav
92.53475,92.6578125,POS,Spiders_007.wav
92.694,92.8001875,POS,Spiders_007.wav
92.916,93.0414375,POS,Spiders_007.wav
93.17175,93.3044375,POS,Spiders_007.wav
93.331,93.451625,POS,Spiders_007.wav
93.569,93.7016875,POS,Spiders_007.wav
93.8126875,93.9285,POS,Spiders_007.wav
94.3725,94.51725,POS,Spiders_007.wav
102.5178125,102.633625,POS,Spiders_007.wav
102.6915625,102.8121875,POS,Spiders_007.wav
102.9086875,103.0341875,POS,Spiders_007.wav
103.10175,103.2271875,POS,Spiders_007.wav
103.29475,103.4009375,POS,Spiders_007.wav
103.4395625,103.5795,POS,Spiders_007.wav
103.6180625,103.758,POS,Spiders_007.wav
103.8175,103.945375,POS,Spiders_007.wav
104.0033125,104.14325,POS,Spiders_007.wav
104.1794375,104.288,POS,Spiders_007.wav
104.3724375,104.50275,POS,Spiders_007.wav
104.5558125,104.6909375,POS,Spiders_007.wav
104.75125,104.8743125,POS,Spiders_007.wav
104.9298125,105.0480625,POS,Spiders_007.wav
105.1100625,105.2451875,POS,Spiders_007.wav
105.2765625,105.4213125,POS,Spiders_007.wav
105.4623125,105.5974375,POS,Spiders_007.wav
105.648125,105.7808125,POS,Spiders_007.wav
105.8653125,106.0100625,POS,Spiders_007.wav
106.029375,106.1524375,POS,Spiders_007.wav
106.2513125,106.3864375,POS,Spiders_007.wav
106.562625,106.6880625,POS,Spiders_007.wav
106.7845625,106.9100625,POS,Spiders_007.wav
107.066875,107.1875625,POS,Spiders_007.wav
107.3009375,107.4119375,POS,Spiders_007.wav
107.486,107.6186875,POS,Spiders_007.wav
107.669375,107.8045,POS,Spiders_007.wav
107.86,108.0095625,POS,Spiders_007.wav
108.3643125,108.5018125,POS,Spiders_007.wav
108.6055625,108.76,POS,Spiders_007.wav
108.8830625,109.03025,POS,Spiders_007.wav
109.1291875,109.27875,POS,Spiders_007.wav
109.442,109.5988125,POS,Spiders_007.wav
109.6880625,109.8304375,POS,Spiders_007.wav
109.91975,110.0910625,POS,Spiders_007.wav
110.1755,110.3275,POS,Spiders_007.wav
110.4360625,110.5615625,POS,Spiders_007.wav
110.677375,110.7931875,POS,Spiders_007.wav
114.767375,114.8686875,POS,Spiders_007.wav
114.960375,115.06175,POS,Spiders_007.wav
115.119625,115.221,POS,Spiders_007.wav
115.31025,115.418875,POS,Spiders_007.wav
115.5129375,115.636,POS,Spiders_007.wav
115.722875,115.8435,POS,Spiders_007.wav
115.9328125,116.0461875,POS,Spiders_007.wav
116.130625,116.2536875,POS,Spiders_007.wav
116.343,116.4588125,POS,Spiders_007.wav
116.581875,116.692875,POS,Spiders_007.wav
116.7628125,116.8906875,POS,Spiders_007.wav
116.9703125,117.091,POS,Spiders_007.wav
117.156125,117.274375,POS,Spiders_007.wav
117.336125,117.4929375,POS,Spiders_007.wav
117.56775,117.688375,POS,Spiders_007.wav
117.751125,117.8741875,POS,Spiders_007.wav
117.9369375,118.0720625,POS,Spiders_007.wav
118.1299375,118.2554375,POS,Spiders_007.wav
118.318125,118.443625,POS,Spiders_007.wav
118.50875,118.63425,POS,Spiders_007.wav
118.7018125,118.82,POS,Spiders_007.wav
118.9575625,119.0758125,POS,Spiders_007.wav
119.77275,119.91025,POS,Spiders_007.wav
119.9681875,120.07675,POS,Spiders_007.wav
120.1756875,120.3108125,POS,Spiders_007.wav
120.3904375,120.515875,POS,Spiders_007.wav
120.54725,120.6630625,POS,Spiders_007.wav
120.81675,120.9470625,POS,Spiders_007.wav
120.9711875,121.0894375,POS,Spiders_007.wav
121.2028125,121.347625,POS,Spiders_007.wav
121.485125,121.60575,POS,Spiders_007.wav
121.7795,121.900125,POS,Spiders_007.wav
122.0425,122.177625,POS,Spiders_007.wav
122.288625,122.392375,POS,Spiders_007.wav
122.5468125,122.67225,POS,Spiders_007.wav
123.928125,124.056,POS,Spiders_007.wav
127.541125,127.64975,POS,Spiders_007.wav
127.735375,127.8439375,POS,Spiders_007.wav
128.109375,128.2179375,POS,Spiders_007.wav
128.3229375,128.4531875,POS,Spiders_007.wav
128.5449375,128.6655625,POS,Spiders_007.wav
128.740375,128.8489375,POS,Spiders_007.wav
128.933375,129.0636875,POS,Spiders_007.wav
129.1288125,129.251875,POS,Spiders_007.wav
129.3194375,129.43525,POS,Spiders_007.wav
129.539,129.65,POS,Spiders_007.wav
129.704625,129.82525,POS,Spiders_007.wav
129.912125,130.00625,POS,Spiders_007.wav
130.11,130.221,POS,Spiders_007.wav
130.3150625,130.411625,POS,Spiders_007.wav
130.5105625,130.626375,POS,Spiders_007.wav
130.7204375,130.8241875,POS,Spiders_007.wav
130.8905625,130.9943125,POS,Spiders_007.wav
131.1330625,131.2536875,POS,Spiders_007.wav
131.33575,131.4443125,POS,Spiders_007.wav
131.560125,131.663875,POS,Spiders_007.wav
131.808625,131.9220625,POS,Spiders_007.wav
131.9695625,132.092625,POS,Spiders_007.wav
132.20125,132.3121875,POS,Spiders_007.wav
132.348375,132.4545625,POS,Spiders_007.wav
132.5196875,132.6548125,POS,Spiders_007.wav
132.799625,132.90575,POS,Spiders_007.wav
133.04575,133.1566875,POS,Spiders_007.wav
137.7221875,138.043125,POS,Spiders_007.wav
141.7500625,141.8441875,POS,Spiders_007.wav
141.9310625,142.0444375,POS,Spiders_007.wav
142.1204375,142.22425,POS,Spiders_007.wav
142.293,142.404,POS,Spiders_007.wav
142.4739375,142.58975,POS,Spiders_007.wav
142.9203125,143.0216875,POS,Spiders_007.wav
143.08925,143.2050625,POS,Spiders_007.wav
143.306375,143.43425,POS,Spiders_007.wav
143.494625,143.6200625,POS,Spiders_007.wav
143.7479375,143.87825,POS,Spiders_007.wav
143.9313125,144.054375,POS,Spiders_007.wav
144.1146875,144.228125,POS,Spiders_007.wav
144.3005,144.4235625,POS,Spiders_007.wav
144.5369375,144.6551875,POS,Spiders_007.wav
144.787875,144.9085625,POS,Spiders_007.wav
144.961625,145.0943125,POS,Spiders_007.wav
145.2183125,145.355875,POS,Spiders_007.wav
145.5030625,145.6309375,POS,Spiders_007.wav
