Begin Time (s)	End Time (s)	Annotation
2.065749999999994	2.1394374999999997	POS
2.737499999999997	2.8603750000000048	POS
4.143500000000003	4.210125000000005	POS
5.162437499999996	5.244312500000007	POS
6.440437500000002	6.522312499999998	POS
7.779687499999994	7.845187499999994	POS
8.443250000000006	8.508812500000005	POS
9.180562499999994	9.237875000000003	POS
9.950625000000002	10.040750000000003	POS
10.753500000000003	10.835374999999999	POS
11.392499999999998	11.490812500000004	POS
12.293625000000006	12.391937499999997	POS
13.587249999999997	13.658000000000001	POS
14.218812499999999	14.259749999999997	POS
14.956125	15.029875000000004	POS
15.718062500000002	15.791749999999993	POS
16.344750000000005	16.397999999999996	POS
17.708375000000004	17.74525	POS
18.3023125	18.355562500000005	POS
18.933125000000004	18.978187500000004	POS
19.543437499999996	19.604875000000007	POS
20.0595625	20.116937500000006	POS
21.468625000000003	21.517812500000005	POS
22.058499999999995	22.103562499999995	POS
22.603250000000003	22.648312500000003	POS
23.209500000000006	23.254562500000006	POS
23.795249999999996	23.856687500000007	POS
25.107437500000003	25.164749999999998	POS
25.6298125	25.677875	POS
26.233874999999998	26.278875	POS
26.692625000000007	26.745874999999998	POS
27.950125000000014	27.99112500000001	POS
28.462124999999986	28.507187499999986	POS
