Starttime,Endtime,Q,Audiofilename
1292.798625,1293.106875,UNK,carrion_crow_19_AL_Azul_1015truncated.wav
1293.3429375,1293.627125,UNK,carrion_crow_19_AL_Azul_1015truncated.wav
1293.863125,1294.1088125,UNK,carrion_crow_19_AL_Azul_1015truncated.wav
141.396875,141.5655,POS,carrion_crow_19_AL_Azul_1015truncated.wav
142.2446875,142.3650625,POS,carrion_crow_19_AL_Azul_1015truncated.wav
142.726375,142.9768125,POS,carrion_crow_19_AL_Azul_1015truncated.wav
143.7475625,144.157,POS,carrion_crow_19_AL_Azul_1015truncated.wav
145.61175,146.0693125,POS,carrion_crow_19_AL_Azul_1015truncated.wav
146.685875,146.811125,POS,carrion_crow_19_AL_Azul_1015truncated.wav
147.4276875,147.528875,POS,carrion_crow_19_AL_Azul_1015truncated.wav
148.2561875,148.3718125,POS,carrion_crow_19_AL_Azul_1015truncated.wav
156.026,156.146375,POS,carrion_crow_19_AL_Azul_1015truncated.wav
156.5895625,156.71,POS,carrion_crow_19_AL_Azul_1015truncated.wav
156.8978125,157.0230625,POS,carrion_crow_19_AL_Azul_1015truncated.wav
158.212875,158.367,POS,carrion_crow_19_AL_Azul_1015truncated.wav
159.3545,159.4796875,POS,carrion_crow_19_AL_Azul_1015truncated.wav
161.305375,161.396875,POS,carrion_crow_19_AL_Azul_1015truncated.wav
192.4855,192.620375,POS,carrion_crow_19_AL_Azul_1015truncated.wav
218.40075,218.646375,POS,carrion_crow_19_AL_Azul_1015truncated.wav
241.8785625,242.0664375,POS,carrion_crow_19_AL_Azul_1015truncated.wav
244.2148125,244.34,POS,carrion_crow_19_AL_Azul_1015truncated.wav
246.0500625,246.2235,POS,carrion_crow_19_AL_Azul_1015truncated.wav
248.574125,248.74275,POS,carrion_crow_19_AL_Azul_1015truncated.wav
308.034625,308.2176875,POS,carrion_crow_19_AL_Azul_1015truncated.wav
418.49225,418.7330625,POS,carrion_crow_19_AL_Azul_1015truncated.wav
427.2928125,427.403625,POS,carrion_crow_19_AL_Azul_1015truncated.wav
429.3159375,429.51825,POS,carrion_crow_19_AL_Azul_1015truncated.wav
430.1974375,430.423875,POS,carrion_crow_19_AL_Azul_1015truncated.wav
431.6280625,431.9219375,POS,carrion_crow_19_AL_Azul_1015truncated.wav
432.71675,432.943125,POS,carrion_crow_19_AL_Azul_1015truncated.wav
433.7475625,433.9931875,POS,carrion_crow_19_AL_Azul_1015truncated.wav
