Starttime,Endtime,Q,Audiofilename
682.9516875,683.0919375,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
997.896,998.3126875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
1005.210375,1005.6806875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
1011.9554375,1012.3184375,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
1016.4418125,1016.8378125,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
1051.402625,1051.617125,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
1051.9430625,1052.2111875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
1052.4999375,1052.718625,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
1053.0115,1053.2796875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
1964.874125,1965.5094375,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3008.2590625,3009.4595625,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3010.9323125,3011.0931875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3011.2911875,3011.58825,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3011.674875,3011.947125,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3012.0833125,3012.3926875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3012.5288125,3012.825875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3012.949625,3013.2838125,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3013.4199375,3013.7540625,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3013.8655,3014.1625,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3014.298625,3014.5709375,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3014.9174375,3015.14025,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3062.2813125,3062.6155,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3062.751625,3063.172375,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3063.2343125,3063.6303125,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3063.7045625,3063.927375,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3231.625375,3231.9100625,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3232.1245625,3232.3926875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3232.6485,3232.8135,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3239.6740625,3239.9875625,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
3240.284625,3240.589875,UNK,carrion_crow_19_BD_Rosa_1004truncated.wav
917.7146875,917.828125,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
919.5559375,919.798125,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
920.037125,920.2850625,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
1967.176125,1967.49375,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
1970.3609375,1970.6868125,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
1971.206625,1971.6150625,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
1972.8320625,1973.1909375,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
2903.3476875,2903.7025,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
2904.5275625,2904.8390625,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3009.606,3009.791625,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3065.9720625,3066.1096875,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3066.3504375,3066.502625,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3066.514,3066.6625,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3066.7440625,3066.9099375,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3066.922375,3067.1451875,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3067.183125,3067.401375,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3067.4421875,3067.7145,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3067.825875,3068.03625,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3341.2264375,3341.703375,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3343.4051875,3343.876875,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3346.874875,3347.3339375,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
3501.60475,3501.83575,POS,carrion_crow_19_BD_Rosa_1004truncated.wav
