Begin Time (s)	End Time (s)	Annotation
-0.0850000000000363	0.0759375000000091	POS
0.5255624999999782	0.7401249999998072	POS
1.0	1.29293749999988	POS
1.5816874999998165	1.8126874999998108	POS
6.0	6.214499999999816	POS
6.490937499999973	6.705437499999789	POS
11.622937499999807	11.961249999999836	POS
12.19224999999983	12.460374999999884	POS
12.745062499999904	12.967812499999807	POS
13.314374999999927	13.524749999999813	POS
14.968687499999987	15.146062499999973	POS
15.476062499999898	15.735999999999876	POS
16.02062499999988	16.197999999999865	POS
29.589124999999967	30.01406249999991	POS
30.224437499999794	30.49256249999985	POS
30.620499999999996	30.752499999999827	POS
30.793749999999815	31.02887499999997	POS
31.090749999999844	31.34656249999989	POS
34.349874999999884	34.58499999999981	POS
34.64274999999998	34.79949999999985	POS
34.83249999999998	35.10068749999982	POS
35.12956249999979	35.232687499999884	POS
35.36881249999988	35.59156250000001	POS
35.756624999999985	35.86387500000001	POS
35.90099999999984	36.177374999999984	POS
36.20624999999996	36.3671875	POS
36.41668749999985	36.7260624999999	POS
