Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
113	Spectrogram 1	1	1.0	1.3506875000000491	0.0	23437.5	0.3507	23437.5	-37.51	adult_crow
114	Spectrogram 1	1	1.5651875000000928	1.9116875000001983	0.0	23437.5	0.3465	23437.5	-39.45	adult_crow
115	Spectrogram 1	1	13.248375000000124	13.644375000000082	0.0	23437.5	0.396	23437.5	-39.26	adult_crow
116	Spectrogram 1	1	13.974437500000022	14.428250000000162	0.0	23437.5	0.4538	23437.5	-37.16	adult_crow
117	Spectrogram 1	1	14.708750000000009	15.236812500000042	0.0	23437.5	0.5281	23437.5	-38.11	adult_crow
118	Spectrogram 1	1	33.79293750000011	34.193062499999996	0.0	23437.5	0.4001	23437.5	-43.54	adult_crow
119	Spectrogram 1	1	34.61387500000001	34.84075000000007	0.0	23437.5	0.2269	23437.5	-42.33	adult_crow
120	Spectrogram 1	1	34.90262500000017	35.04293750000011	0.0	23437.5	0.1403	23437.5	-49.67	adult_crow
121	Spectrogram 1	1	35.19143750000012	35.49668750000001	0.0	23437.5	0.3052	23437.5	-43.33	adult_crow
122	Spectrogram 1	1	35.75662500000021	36.00825000000009	0.0	23437.5	0.2516	23437.5	-41.53	adult_crow
