Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
26	Spectrogram 1	1	-0.9380000000000166	0.08393749999999045	0.0	5000.0	1.0219	5000.0	-74.49	Mn
27	Spectrogram 1	1	1.0	1.8109999999999786	0.0	5000.0	0.811	5000.0	-74.84	Mn
28	Spectrogram 1	1	2.9039999999999964	4.5599374999999895	0.0	5000.0	1.6559	5000.0	-74.56	Mn
29	Spectrogram 1	1	7.838999999999999	9.001999999999981	0.0	5000.0	1.163	5000.0	-74.65	Mn
30	Spectrogram 1	1	15.384999999999991	16.161	0.0	5000.0	0.776	5000.0	-74.32	Mn
31	Spectrogram 1	1	19.403999999999996	20.214	0.0	5000.0	0.81	5000.0	-73.62	Mn
32	Spectrogram 1	1	21.05993749999999	21.694999999999993	0.0	5000.0	0.6351	5000.0	-74.02	Mn
33	Spectrogram 1	1	23.421999999999997	24.268	0.0	5000.0	0.846	5000.0	-73.5	Mn
34	Spectrogram 1	1	27.405	28.391999999999996	0.0	5000.0	0.987	5000.0	-73.78	Mn
35	Spectrogram 1	1	29.238	29.83699999999999	0.0	5000.0	0.599	5000.0	-73.95	Mn
36	Spectrogram 1	1	31.246999999999986	31.951999999999998	0.0	5000.0	0.705	5000.0	-73.51	Mn
37	Spectrogram 1	1	32.869	33.60899999999998	0.0	5000.0	0.74	5000.0	-73.87	Mn
38	Spectrogram 1	1	34.736999999999995	35.583	0.0	5000.0	0.846	5000.0	-73.31	Mn
39	Spectrogram 1	1	36.32299999999998	37.20399999999998	0.0	5000.0	0.881	5000.0	-73.95	Mn
40	Spectrogram 1	1	38.191	39.24799999999999	0.0	5000.0	1.057	5000.0	-73.57	Mn
