Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
553	Spectrogram 1	1	1.0	1.132687500000003	0.0	8000.0	0.1327	8000.0	-50.5	knock
554	Spectrogram 1	1	1.2485625000000198	1.4222500000000196	0.0	8000.0	0.1737	8000.0	-53.29	knock
555	Spectrogram 1	1	1.5477500000000077	1.7214375000000075	0.0	8000.0	0.1737	8000.0	-56.1	knock
556	Spectrogram 1	1	1.8155624999999986	1.9893125000000111	0.0	8000.0	0.1738	8000.0	-54.01	knock
557	Spectrogram 1	1	2.0881875000000036	2.261937500000016	0.0	8000.0	0.1738	8000.0	-56.24	knock
558	Spectrogram 1	1	2.3874375000000043	2.561125000000004	0.0	8000.0	0.1737	8000.0	-56.7	knock
559	Spectrogram 1	1	2.6745625000000075	2.8482500000000073	0.0	8000.0	0.1737	8000.0	-58.51	knock
560	Spectrogram 1	1	2.9906250000000227	3.164375000000007	0.0	8000.0	0.1737	8000.0	-58.36	knock
561	Spectrogram 1	1	3.303562499999998	3.4748749999999973	0.0	8000.0	0.1713	8000.0	-58.5	knock
562	Spectrogram 1	1	3.569000000000017	3.7210000000000036	0.0	8000.0	0.152	8000.0	-59.41	knock
563	Spectrogram 1	1	3.8681875000000048	3.998500000000007	0.0	8000.0	0.1303	8000.0	-59.64	knock
564	Spectrogram 1	1	7.767937500000016	7.876562500000006	0.0	8000.0	0.1086	8000.0	-58.74	knock
565	Spectrogram 1	1	7.975437499999998	8.127499999999998	0.0	8000.0	0.1521	8000.0	-59.55	knock
566	Spectrogram 1	1	8.192625000000021	8.354250000000008	0.0	8000.0	0.1616	8000.0	-56.15	knock
567	Spectrogram 1	1	8.429062500000015	8.573875000000015	0.0	8000.0	0.1448	8000.0	-58.46	knock
568	Spectrogram 1	1	8.646250000000009	8.798249999999996	0.0	8000.0	0.152	8000.0	-54.78	knock
569	Spectrogram 1	1	8.873062500000003	9.032312500000018	0.0	8000.0	0.1593	8000.0	-51.14	knock
