Begin Time (s)	End Time (s)	Annotation
0.3650625000000005	0.412687499999997	POS
1.0	1.0418749999999974	POS
1.4503124999999957	1.5022499999999963	POS
12.9636875	13.015625	POS
13.375	13.421187499999997	POS
13.8368125	13.885875	POS
14.298624999999994	14.3476875	POS
15.0288125	15.069249999999997	POS
24.94325	24.99375	POS
25.341562499999995	25.384812499999995	POS
25.758624999999995	25.8076875	POS
26.37625	26.42825	POS
26.812124999999995	26.8856875	POS
35.668687500000004	35.7090625	POS
36.054	36.114625	POS
36.4609375	36.5158125	POS
37.15656249999999	37.20706249999999	POS
