Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
164	Spectrogram 1	1	-0.13920000000001664	0.7968199999999683	0.0	22050.0	0.936	22050.0	-66.61	Phee
165	Spectrogram 1	1	1.0	1.8417200000000093	0.0	22050.0	0.8417	22050.0	-65.73	Phee
168	Spectrogram 1	1	9.807259999999985	10.56916000000001	0.0	22050.0	0.7619	22050.0	-68.96	Phee
169	Spectrogram 1	1	10.790480000000002	11.766429999999957	0.0	22050.0	0.9759	22050.0	-64.4	Phee
170	Spectrogram 1	1	12.00227000000001	13.005439999999965	0.0	22050.0	1.0032	22050.0	-59.73	Phee
172	Spectrogram 1	1	17.97233	18.774149999999963	0.0	22050.0	0.8018	22050.0	-61.83	Phee
173	Spectrogram 1	1	19.02632	19.94059999999996	0.0	22050.0	0.9143	22050.0	-58.09	Phee
174	Spectrogram 1	1	20.192759999999964	20.760539999999992	0.0	22050.0	0.5678	22050.0	-60.31	Phee
175	Spectrogram 1	1	26.447599999999966	27.296600000000012	0.0	22050.0	0.849	22050.0	-61.97	Phee
176	Spectrogram 1	1	27.543299999999988	28.46121999999997	0.0	22050.0	0.9179	22050.0	-56.27	Phee
