Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
101	Spectrogram 1	1	-0.49331250000068394	0.08624999999938154	0.0	16000.0	0.5796	16000.0	-76.14	COYE
102	Spectrogram 1	1	0.3062499999996362	0.7081249999991996	0.0	16000.0	0.4019	16000.0	-76.5	COYE
103	Spectrogram 1	1	1.0	1.3426874999995562	0.0	16000.0	0.3427	16000.0	-77.52	COYE
104	Spectrogram 1	1	1.7784374999991996	2.20568749999984	0.0	16000.0	0.4273	16000.0	-76.51	COYE
105	Spectrogram 1	1	2.5399374999997235	2.9714374999994106	0.0	16000.0	0.4315	16000.0	-75.89	COYE
106	Spectrogram 1	1	3.529874999999265	3.9063749999995707	0.0	16000.0	0.3765	16000.0	-76.45	COYE
107	Spectrogram 1	1	4.254874999999629	4.618749999999636	0.0	16000.0	0.3639	16000.0	-77.81	COYE
108	Spectrogram 1	1	5.305749999999534	5.546875	0.0	16000.0	0.2411	16000.0	-77.66	COYE
109	Spectrogram 1	1	5.930437499999243	6.230812499999956	0.0	16000.0	0.3004	16000.0	-76.81	COYE
110	Spectrogram 1	1	7.521062499999971	7.77068749999944	0.0	16000.0	0.2496	16000.0	-76.38	COYE
111	Spectrogram 1	1	12.264249999999265	12.526562499999272	0.0	16000.0	0.2623	16000.0	-76.73	COYE
112	Spectrogram 1	1	24.373999999999796	26.112624999999753	0.0	16000.0	1.7386	16000.0	-76.25	COYE
